iter	Passed	Remaining
418	2450	3397
419	2456	3391
420	2461	3385
421	2467	3379
422	2472	3372
423	2478	3366
424	2484	3360
425	2489	3354
426	2495	3348
427	2500	3341
428	2506	3335
429	2510	3328
430	2516	3322
431	2522	3316
432	2527	3310
433	2533	3304
434	2539	3297
435	2544	3291
436	2550	3285
437	2555	3279
438	2561	3272
439	2566	3266
440	2572	3260
441	2577	3254
442	2583	3248
443	2588	3241
444	2594	3235
445	2599	3229
446	2605	3223
447	2610	3217
448	2616	3210
449	2621	3204
450	2627	3198
451	2632	3191
452	2638	3186
453	2644	3179
454	2649	3174
455	2655	3168
456	2661	3162
457	2666	3155
458	2672	3149
459	2677	3143
460	2683	3137
461	2688	3130
462	2694	3124
463	2699	3118
464	2705	3112
465	2711	3106
466	2716	3100
467	2722	3094
468	2727	3088
469	2733	3082
470	2738	3075
471	2744	3069
472	2749	3063
473	2754	3057
474	2760	3051
475	2765	3044
476	2771	3038
477	2776	3032
478	2782	3026
479	2788	3020
480	2794	3014
481	2799	3008
482	2805	3002
483	2810	2996
484	2816	2990
485	2821	2984
486	2827	2978
487	2833	2972
488	2838	2966
489	2844	2960
490	2850	2955
491	2855	2948
492	2861	2942
493	2867	2936
494	2872	2930
495	2878	2924
496	2884	2918
497	2889	2912
498	2895	2907
499	2901	2901
500	2907	2895
501	2912	2889
502	2918	2883
503	2923	2877
504	2929	2871
505	2935	2865
506	2940	2859
507	2946	2853
508	2951	2847
509	2957	2841
510	2963	2836
511	2969	2830
512	2976	2825
513	2981	2819
514	2987	2813
515	2993	2807
516	2999	2802
517	3005	2796
518	3011	2790
519	3017	2785
520	3023	2779
521	3029	2774
522	3035	2768
523	3040	2762
524	3046	2756
525	3052	2750
526	3058	2744
527	3064	2739
528	3070	2733
529	3076	2728
530	3082	2722
531	3088	2716
532	3093	2710
533	3100	2705
534	3105	2699
535	3111	2693
536	3117	2688
537	3123	2682
538	3129	2676
539	3135	2671
540	3141	2665
541	3147	2660
542	3153	2654
543	3159	2648
544	3165	2642
545	3171	2636
546	3177	2631
547	3183	2625
548	3188	2619
549	3194	2613
550	3200	2608
551	3206	2602
552	3212	2596
553	3218	2590
554	3224	2585
555	3229	2579
556	3235	2573
557	3241	2567
558	3247	2562
559	3253	2556
560	3260	2551
561	3266	2545
562	3272	2539
563	3278	2534
564	3284	2528
565	3289	2522
566	3295	2516
567	3301	2510
568	3307	2505
569	3313	2499
570	3319	2494
571	3325	2488
572	3331	2482
573	3337	2476
574	3346	2473
575	3351	2467
576	3357	2461
577	3364	2456
578	3370	2451
579	3376	2445
580	3382	2439
581	3388	2433
582	3394	2427
583	3400	2422
584	3406	2416
585	3412	2410
586	3418	2405
587	3424	2399
588	3430	2393
589	3436	2387
590	3442	2382
591	3449	2377
592	3455	2371
593	3461	2365
594	3467	2360
595	3473	2354
596	3478	2348
597	3483	2342
598	3489	2336
599	3495	2330
600	3500	2324
601	3506	2317
602	3512	2312
603	3517	2306
604	3523	2300
605	3528	2294
606	3534	2288
607	3539	2282
608	3545	2276
609	3551	2270
610	3556	2264
611	3562	2258
612	3568	2252
613	3573	2246
614	3579	2240
615	3584	2234
616	3590	2228
617	3595	2222
618	3601	2216
619	3606	2210
620	3612	2204
621	3617	2198
622	3623	2192
623	3629	2186
624	3634	2180
625	3639	2174
626	3645	2168
627	3651	2162
628	3656	2156
629	3662	2151
630	3668	2145
631	3673	2139
632	3678	2132
633	3684	2126
634	3690	2121
635	3695	2115
636	3700	2109
637	3706	2103
638	3711	2097
639	3717	2090
640	3722	2085
641	3728	2079
642	3733	2073
643	3739	2067
644	3744	2061
645	3750	2055
646	3755	2049
647	3761	2043
648	3766	2036
649	3771	2030
650	3777	2025
651	3783	2019
652	3788	2013
653	3794	2007
654	3799	2001
655	3804	1995
656	3810	1989
657	3815	1983
658	3821	1977
659	3826	1971
660	3832	1965
661	3837	1959
662	3843	1953
663	3849	1947
664	3854	1941
665	3860	1935
666	3866	1930
667	3871	1924
668	3877	1918
669	3883	1912
670	3888	1906
671	3894	1900
672	3899	1894
673	3905	1888
674	3911	1883
675	3916	1877
676	3922	1871
677	3928	1865
678	3933	1859
679	3939	1854
680	3945	1848
681	3950	1842
682	3956	1836
683	3962	1830
684	3969	1825
685	3976	1820
686	3982	1814
687	3987	1808
688	3993	1802
689	3998	1796
690	4003	1790
