iter	Passed	Remaining
481	3427	3683
482	3432	3674
483	3439	3666
484	3445	3658
485	3450	3649
486	3458	3643
487	3464	3634
488	3471	3627
489	3477	3619
490	3484	3611
491	3490	3603
492	3496	3595
493	3505	3590
494	3510	3581
495	3517	3573
496	3524	3566
497	3531	3560
498	3539	3553
499	3549	3549
500	3555	3541
501	3561	3532
502	3571	3529
503	3577	3520
504	3584	3513
505	3593	3508
506	3600	3500
507	3605	3492
508	3612	3484
509	3618	3476
510	3626	3469
511	3636	3465
512	3642	3457
513	3650	3451
514	3658	3445
515	3664	3437
516	3676	3434
517	3682	3426
518	3688	3418
519	3694	3410
520	3703	3405
521	3710	3397
522	3718	3391
523	3726	3385
524	3734	3378
525	3741	3371
526	3749	3365
527	3755	3357
528	3763	3351
529	3773	3346
530	3782	3341
531	3791	3335
532	3798	3328
533	3804	3320
534	3812	3313
535	3818	3305
536	3824	3297
537	3833	3291
538	3838	3283
539	3844	3275
540	3852	3268
541	3858	3260
542	3865	3252
543	3871	3245
544	3877	3237
545	3883	3229
546	3890	3221
547	3897	3214
548	3905	3208
549	3913	3201
550	3919	3193
551	3930	3189
552	3936	3182
553	3942	3173
554	3950	3167
555	3958	3160
556	3964	3153
557	3970	3145
558	3977	3137
559	3983	3129
560	3989	3122
561	3995	3113
562	4003	3107
563	4010	3100
564	4016	3091
565	4024	3086
566	4031	3078
567	4036	3070
568	4044	3063
569	4050	3055
570	4056	3047
571	4062	3039
572	4068	3032
573	4075	3024
574	4087	3020
575	4094	3013
576	4099	3005
577	4108	2999
578	4115	2992
579	4121	2984
580	4129	2978
581	4135	2970
582	4141	2962
583	4150	2956
584	4156	2948
585	4162	2940
586	4169	2933
587	4175	2925
588	4181	2917
589	4190	2912
590	4196	2904
591	4202	2896
592	4210	2889
593	4215	2881
594	4222	2873
595	4227	2865
596	4233	2857
597	4239	2850
598	4245	2842
599	4251	2834
600	4257	2826
601	4266	2820
602	4272	2813
603	4281	2806
604	4289	2800
605	4295	2792
606	4301	2784
607	4309	2778
608	4316	2771
609	4323	2764
610	4331	2757
611	4338	2750
612	4345	2743
613	4352	2736
614	4358	2728
615	4367	2722
616	4373	2715
617	4380	2707
618	4388	2700
619	4394	2693
620	4399	2685
621	4408	2679
622	4415	2671
623	4421	2664
624	4427	2656
625	4433	2648
626	4438	2640
627	4448	2635
628	4454	2627
629	4460	2619
630	4468	2613
631	4475	2606
632	4483	2599
633	4489	2591
634	4495	2584
635	4501	2576
636	4507	2568
637	4515	2561
638	4523	2555
639	4529	2547
640	4536	2540
641	4546	2535
642	4552	2527
643	4558	2519
644	4567	2513
645	4574	2506
646	4581	2499
647	4587	2491
648	4593	2484
649	4598	2476
650	4604	2468
651	4611	2461
652	4619	2454
653	4625	2447
654	4631	2439
655	4638	2432
656	4645	2425
657	4653	2418
658	4658	2410
659	4666	2403
660	4671	2396
661	4679	2389
662	4687	2382
663	4693	2374
664	4699	2367
665	4706	2360
666	4713	2353
667	4719	2345
668	4725	2338
669	4731	2330
670	4738	2323
671	4744	2315
672	4753	2309
673	4759	2301
674	4767	2295
675	4774	2288
676	4780	2280
677	4786	2273
678	4791	2265
679	4798	2258
680	4807	2251
681	4814	2244
682	4819	2237
683	4826	2229
684	4833	2222
685	4842	2216
686	4848	2209
687	4856	2202
688	4861	2194
689	4867	2187
690	4874	2179
691	4880	2172
692	4887	2165
693	4894	2158
694	4902	2151
695	4908	2144
696	4915	2136
697	4921	2129
698	4931	2123
699	4937	2115
700	4943	2108
701	4952	2102
702	4958	2095
703	4965	2087
704	4973	2080
705	4979	2073
706	4985	2065
707	4993	2059
708	5000	2052
709	5006	2044
710	5011	2037
711	5017	2029
712	5023	2022
713	5029	2014
714	5036	2007
715	5044	2000
716	5052	1994
717	5058	1986
718	5067	1980
719	5073	1972
720	5079	1965
721	5085	1958
722	5094	1951
723	5100	1944
724	5107	1937
725	5114	1930
726	5120	1922
727	5128	1916
728	5136	1909
729	5142	1901
730	5148	1894
731	5155	1887
732	5162	1880
733	5168	1873
734	5176	1866
735	5182	1858
736	5187	1851
737	5196	1844
738	5202	1837
739	5208	1830
740	5215	1822
741	5220	1815
742	5228	1808
743	5234	1801
744	5243	1794
745	5249	1787
746	5254	1779
747	5260	1772
748	5267	1765
749	5274	1758
750	5281	1751
751	5288	1744
752	5295	1737
753	5301	1729
754	5307	1722
755	5314	1715
756	5321	1708
757	5327	1700
758	5335	1694
759	5340	1686
760	5346	1679
761	5353	1672
762	5361	1665
763	5368	1658
764	5373	1650
765	5379	1643
766	5385	1635
767	5391	1628
768	5398	1621
769	5404	1614
770	5411	1607
771	5418	1600
772	5424	1592
773	5430	1585
774	5438	1578
775	5444	1571
776	5450	1564
777	5462	1558
778	5468	1551
779	5474	1544
780	5483	1537
781	5490	1530
782	5497	1523
783	5504	1516
784	5510	1509
785	5516	1502
786	5523	1495
787	5530	1487
788	5538	1481
789	5544	1473
790	5552	1466
791	5559	1459
792	5566	1453
793	5572	1445
794	5580	1438
795	5586	1431
796	5592	1424
797	5601	1417
798	5607	1410
799	5614	1403
800	5623	1397
801	5628	1389
802	5636	1382
803	5645	1376
804	5652	1369
805	5658	1362
806	5665	1354
807	5671	1347
808	5679	1340
809	5685	1333
810	5691	1326
811	5697	1319
812	5706	1312
813	5714	1305
814	5721	1298
815	5727	1291
816	5733	1284
817	5739	1276
818	5745	1269
819	5753	1263
820	5760	1256
821	5767	1248
822	5772	1241
823	5783	1235
824	5789	1228
825	5795	1220
826	5801	1213
827	5807	1206
828	5815	1199
829	5824	1192
830	5831	1185
831	5839	1179
832	5846	1172
833	5852	1164
834	5861	1158
835	5868	1151
836	5874	1144
837	5882	1137
838	5888	1129
839	5895	1122
840	5902	1115
841	5908	1108
842	5915	1101
843	5921	1094
844	5929	1087
845	5935	1080
846	5941	1073
847	5949	1066
848	5956	1059
849	5962	1052
850	5970	1045
851	5978	1038
852	5985	1031
853	5992	1024
854	5998	1017
855	6003	1009
856	6010	1002
857	6018	996
858	6028	989
859	6034	982
860	6041	975
861	6048	968
862	6054	961
863	6061	954
864	6067	946
865	6074	939
866	6085	933
867	6091	926
868	6098	919
869	6107	912
870	6113	905
871	6120	898
872	6126	891
873	6132	884
874	6140	877
875	6146	870
876	6153	863
877	6161	856
878	6168	849
879	6174	842
880	6181	835
881	6189	828
882	6196	821
883	6202	813
884	6210	807
885	6216	799
886	6222	792
887	6231	785
888	6237	778
889	6243	771
890	6251	764
891	6258	757
892	6266	750
893	6275	744
894	6280	736
895	6286	729
896	6292	722
897	6298	715
898	6305	708
899	6313	701
900	6319	694
901	6326	687
902	6334	680
903	6340	673
904	6347	666
905	6353	659
906	6359	652
907	6365	644
908	6371	637
909	6377	630
910	6388	624
911	6394	616
912	6402	610
913	6410	603
914	6416	596
915	6425	589
916	6434	582
917	6441	575
918	6447	568
919	6455	561
920	6462	554
921	6469	547
922	6474	540
923	6481	533
924	6487	526
925	6494	518
926	6501	511
927	6507	504
928	6514	497
929	6520	490
930	6527	483
931	6534	476
932	6540	469
933	6549	462
934	6554	455
935	6561	448
936	6570	441
937	6577	434
938	6584	427
939	6592	420
940	6598	413
941	6605	406
942	6610	399
943	6618	392
944	6626	385
945	6633	378
946	6639	371
947	6646	364
948	6655	357
949	6663	350
950	6670	343
951	6676	336
952	6682	329
953	6688	322
954	6697	315
955	6702	308
956	6708	301
957	6718	294
958	6724	287
959	6732	280
960	6738	273
961	6745	266
962	6751	259
963	6761	252
964	6767	245
965	6773	238
966	6780	231
967	6786	224
968	6794	217
969	6802	210
970	6808	203
971	6814	196
972	6824	189
973	6830	182
974	6836	175
975	6842	168
976	6850	161
977	6859	154
978	6865	147
979	6871	140
980	6876	133
981	6885	126
982	6893	119
983	6900	112
984	6906	105
985	6913	98
986	6920	91
987	6927	84
988	6933	77
989	6938	70
990	6946	63
991	6951	56
992	6960	49
993	6965	42
994	6971	35
995	6978	28
996	6984	21
997	6991	14
998	7000	7
999	7007	0
