iter	Logloss
0	0.6837961172
1	0.6752896481
2	0.6668402124
3	0.6591739363
4	0.6523266536
5	0.6453340738
6	0.6391310552
7	0.6335449284
8	0.6286826718
9	0.6233427655
10	0.6181501181
11	0.6136166895
12	0.6097062471
13	0.606181666
14	0.6024381976
15	0.5995818397
16	0.5970189141
17	0.5943256722
18	0.5916645827
19	0.5895173887
20	0.587236269
21	0.5849351006
22	0.5831766779
23	0.5813064248
24	0.5795303336
25	0.5779056994
26	0.576270727
27	0.574769517
28	0.5735248133
29	0.5723319641
30	0.5710112638
31	0.5701669578
32	0.5691235711
33	0.5681829126
34	0.5671136967
35	0.5661172668
36	0.565262858
37	0.5643673841
38	0.5635599255
39	0.562872445
40	0.5623271294
41	0.56150656
42	0.5608396513
43	0.5601615412
44	0.5596044292
45	0.5590015636
46	0.5585664503
47	0.5581256153
48	0.5576222476
49	0.5571990614
50	0.5566957067
51	0.5560989225
52	0.555576487
53	0.5552885409
54	0.554892956
55	0.5545555684
56	0.5541019169
57	0.5537058808
58	0.5533299325
59	0.5529118075
60	0.5526362203
61	0.5523137417
62	0.5519665586
63	0.5516202256
64	0.5513181226
65	0.5509667741
66	0.5506554511
67	0.5504083805
68	0.5501210688
69	0.5497580939
70	0.5495330534
71	0.5492660911
72	0.5490136454
73	0.5487521236
74	0.5484402316
75	0.548208397
76	0.547979943
77	0.5476051914
78	0.5473507971
79	0.5470545596
80	0.5467937113
81	0.5465550695
82	0.5462905136
83	0.5460322875
84	0.5457785405
85	0.545615176
86	0.5453309703
87	0.545063668
88	0.5447881854
89	0.5445626936
90	0.5443610235
91	0.544149996
92	0.5439653601
93	0.5437979806
94	0.5435888233
95	0.543436804
96	0.5432355262
97	0.5430485755
98	0.5429085618
99	0.5426763741
100	0.542521118
101	0.5423262288
102	0.5421288483
103	0.5419397985
104	0.5416427894
105	0.541464614
106	0.541319768
107	0.5410466591
108	0.5408653319
109	0.5407671222
110	0.5404744746
111	0.5402624205
112	0.5400893064
113	0.539862461
114	0.5396197716
115	0.5395031153
116	0.5392756815
117	0.5390707941
118	0.538903879
119	0.5387039875
120	0.5385342278
121	0.538334454
122	0.5381007884
123	0.5379364038
124	0.5377803042
125	0.5376009779
126	0.5374454407
127	0.537273837
128	0.5371134281
129	0.536831583
130	0.5366594431
131	0.5364880618
132	0.5362967626
133	0.5361154877
134	0.5358939193
135	0.5356689049
136	0.5355068809
137	0.5353319488
138	0.5351539958
139	0.5349893235
140	0.5348057599
141	0.5346618948
142	0.5344698371
143	0.5342923025
144	0.5341085951
145	0.5339877408
146	0.5338464455
147	0.5337616409
148	0.5336326455
149	0.5335216913
150	0.5333634207
151	0.5332336799
152	0.5330768936
153	0.5328381799
154	0.5326831985
155	0.5325092669
156	0.5323649375
157	0.5320779854
158	0.5320228876
159	0.5318491522
160	0.5317561411
161	0.5315938359
162	0.5313104607
163	0.5311990814
164	0.5310816732
165	0.5309396782
166	0.5306766197
167	0.5305154131
168	0.5302989844
169	0.5301168072
170	0.5299340348
171	0.5297419313
172	0.5296361495
173	0.5295464079
174	0.5293867118
175	0.5292111716
176	0.5290273334
177	0.5289065707
178	0.5286850023
179	0.5285360433
180	0.5284001885
181	0.5282542636
182	0.5281817261
183	0.5280295499
184	0.5279965017
185	0.5278042281
186	0.5276158976
187	0.5274216559
188	0.5272771107
189	0.5270874331
190	0.5269009859
191	0.5267340707
192	0.5265937236
193	0.5264039479
194	0.526285755
195	0.52616528
196	0.5260942793
197	0.525925677
198	0.5257141526
199	0.5255649255
200	0.5253975264
201	0.5252665104
202	0.525065285
203	0.5249274619
204	0.5248091579
205	0.5247016432
206	0.5244976256
207	0.5243475614
208	0.5241603491
209	0.5240092911
210	0.5238696175
211	0.5236446357
212	0.5234452281
213	0.5232910052
214	0.5231053687
215	0.5229367142
216	0.522774906
217	0.5226731718
218	0.5225028825
219	0.5224552914
220	0.5222805752
221	0.5221403196
222	0.5219237405
223	0.5217760043
224	0.5216205259
225	0.5215239248
226	0.5213477569
227	0.5211867595
228	0.5210879614
229	0.5209478824
230	0.520721789
231	0.5205630476
232	0.5203844733
233	0.5202761805
234	0.5201207217
235	0.5198169512
236	0.5197287528
237	0.5195711557
238	0.5194482286
239	0.5193365747
240	0.5192501092
241	0.5190937676
242	0.5188802291
243	0.5187779588
244	0.5185411871
245	0.5183616059
246	0.5181484663
247	0.5179990234
248	0.5178944578
249	0.5177138434
250	0.5175697494
251	0.517377175
252	0.5172844451
253	0.5171984177
254	0.5170905368
255	0.5169579842
256	0.5168039705
257	0.5166948015
258	0.5165494585
259	0.5163253726
260	0.5161230029
261	0.5158703414
262	0.515715955
263	0.5155490071
264	0.5153994007
265	0.5152475907
266	0.5151248859
267	0.5149793402
268	0.514828766
269	0.5146532651
270	0.514464333
271	0.5142690123
272	0.5141085642
273	0.5139247326
274	0.5136619029
275	0.5135329991
276	0.5133147787
277	0.5131164893
278	0.5129332396
279	0.5128063302
280	0.5126155475
281	0.5124054944
282	0.5122414695
283	0.5120071369
284	0.5118307336
285	0.5116834813
286	0.5115037692
287	0.5113099459
288	0.5111283768
289	0.5109528562
290	0.5107718494
291	0.5106354715
292	0.5104310288
293	0.5101824935
294	0.509952529
295	0.5097444703
296	0.5095014343
297	0.5092885824
298	0.5091016317
299	0.5089096328
300	0.5087394415
301	0.5085469784
302	0.508383215
303	0.5082053796
304	0.5079911088
305	0.5077755171
306	0.5075929279
307	0.5073826786
308	0.5071617379
309	0.5069742575
310	0.5067499362
311	0.5065682363
312	0.5064345197
313	0.5062364526
314	0.506009071
315	0.5058849472
316	0.5056968652
317	0.5055299631
318	0.5053534486
319	0.505158481
320	0.5049521617
321	0.504758443
322	0.5045583161
323	0.5043315427
324	0.504159442
325	0.5039114887
326	0.5036752075
327	0.5034790825
328	0.5031912149
329	0.5030222138
330	0.5027795244
331	0.5025809995
332	0.5023504923
333	0.5021344886
334	0.5019532464
335	0.5017988666
336	0.5016135832
337	0.5014592884
338	0.5012331623
339	0.5010534699
340	0.5009594256
341	0.5007237918
342	0.5005441516
343	0.5003393232
344	0.5001770834
345	0.5000039038
346	0.4998189213
347	0.4996381499
348	0.4994490609
349	0.4992274467
350	0.4990423203
351	0.4988345624
352	0.4986714137
353	0.498420812
354	0.4981875192
355	0.4979760798
356	0.497782178
357	0.4976341672
358	0.4973981672
359	0.4972260404
360	0.497086236
361	0.4969397029
362	0.4968062872
363	0.4966152168
364	0.4964588818
365	0.4963457697
366	0.4961987528
367	0.4961008505
368	0.4959870649
369	0.4958456911
370	0.4956591981
371	0.4954828732
372	0.4953535247
373	0.4952151066
374	0.4950625904
375	0.4948314816
376	0.4946086054
377	0.494494264
378	0.4943524129
379	0.4942122358
380	0.4940193737
381	0.4938541587
382	0.4937123207
383	0.4934858807
384	0.4933335018
385	0.4931395281
386	0.4930004168
387	0.4928159117
388	0.4926648732
389	0.4924429518
390	0.4923073585
391	0.4920597452
392	0.4919432328
393	0.4917836806
394	0.4916481004
395	0.4914974609
396	0.4912826865
397	0.4910762625
398	0.4909303115
399	0.4908097253
400	0.4906438237
401	0.4905239895
402	0.4903236075
403	0.4900974945
404	0.4899401917
405	0.489784164
406	0.4896439542
407	0.4894586774
408	0.4892642591
409	0.4891026144
410	0.4889735667
411	0.4887691894
412	0.4885830887
413	0.4883504563
414	0.4882271106
415	0.4880747252
416	0.4878887095
417	0.4877279279
418	0.4875478039
419	0.4873608531
420	0.4871765899
421	0.4870458944
422	0.4868666335
423	0.4866386373
424	0.4864594745
425	0.4863365604
426	0.4861993258
427	0.4860623267
428	0.4858923382
429	0.4857514679
430	0.4856103623
431	0.4853629059
432	0.4851937217
433	0.4849982113
434	0.4848902716
435	0.484691871
436	0.4845720957
437	0.4844447547
438	0.4842349435
439	0.4841655186
440	0.4840019776
441	0.4838511876
442	0.4836764714
443	0.4834272821
444	0.4832023985
445	0.4830547538
446	0.4828532995
447	0.4827252719
448	0.4825790069
449	0.4824590747
450	0.4823164977
451	0.4821848933
452	0.4820585854
453	0.4819003148
454	0.4817351587
455	0.4815468478
456	0.4813093699
457	0.4811744175
458	0.4810374315
459	0.480850788
460	0.4806697551
461	0.4805073453
462	0.4803947694
463	0.4802258075
464	0.4800623122
465	0.4799413337
466	0.4797667875
467	0.4796718735
468	0.4795829493
469	0.4793964301
470	0.4793037917
471	0.4790930585
472	0.4789127187
473	0.4787637858
474	0.478639747
475	0.4784993933
476	0.4783494012
477	0.4781915491
478	0.4780290739
479	0.4779290137
480	0.4777845666
481	0.4775763313
482	0.4774900227
483	0.4773252588
484	0.4770812747
485	0.4769828493
486	0.4767785243
487	0.4766351431
488	0.4765010473
489	0.4763351587
490	0.476169669
491	0.4759869686
492	0.4758464776
493	0.4756728076
494	0.4755575246
495	0.4753661796
496	0.4751708523
497	0.4750028451
498	0.4748572799
499	0.4746970018
500	0.4745771807
501	0.4744650494
502	0.4743342297
503	0.4742425983
504	0.4740872833
505	0.4739780424
506	0.4737196331
507	0.4735534961
508	0.473399587
509	0.4731335271
510	0.4730191007
511	0.4727914183
512	0.4726680269
513	0.4725123392
514	0.4723506618
515	0.4722211171
516	0.4719746939
517	0.4718304495
518	0.4717432582
519	0.471601237
520	0.4714038434
521	0.4712635094
522	0.4711109147
523	0.4709524218
524	0.4707715261
525	0.4706384635
526	0.47046873
527	0.4703338625
528	0.4701727082
529	0.4699683179
530	0.469830109
531	0.4696122875
532	0.4694450715
533	0.4692512221
534	0.4691135102
535	0.4690055966
536	0.468795125
537	0.4686799139
538	0.4685234808
539	0.4683692513
540	0.4682023426
541	0.4680221728
542	0.4678775884
543	0.4677085284
544	0.4675413648
545	0.4673427811
546	0.4671504618
547	0.4670311834
548	0.4668580823
549	0.4667267525
550	0.466503072
551	0.4663009768
552	0.466220573
553	0.4660616942
554	0.4659203597
555	0.4656902906
556	0.4654507792
557	0.4653384387
558	0.4652342916
559	0.4651231805
560	0.4649763663
561	0.4648879782
562	0.4647784234
563	0.464589282
564	0.464425486
565	0.4642803327
566	0.4641896429
567	0.464086699
568	0.4639437821
569	0.4638084307
570	0.4637021846
571	0.4636066299
572	0.4634831076
573	0.4633981918
574	0.4632306751
575	0.4631083364
576	0.4630191964
577	0.4628846625
578	0.4627178454
579	0.4626042036
580	0.4624452595
581	0.4622751794
582	0.462143987
583	0.4619575005
584	0.4618001126
585	0.4616885765
586	0.4615308355
587	0.4613767761
588	0.461197731
589	0.4610460517
590	0.460881556
591	0.460771151
592	0.4606093036
593	0.460485716
594	0.4603407523
595	0.4601817167
596	0.4600342812
597	0.4598837136
598	0.4597346042
599	0.4596112651
600	0.4594733505
601	0.4592624996
602	0.4591187391
603	0.4590058362
604	0.4588632005
605	0.4587729554
606	0.4586643356
607	0.4585121986
608	0.4583826997
609	0.4582827049
610	0.4581343933
611	0.45802527
612	0.4578693011
613	0.4577656118
614	0.4576109246
615	0.4575107075
616	0.4573379071
617	0.4571543894
618	0.4569945363
619	0.4568725246
620	0.4567155618
621	0.4566101724
622	0.4564840999
623	0.456366744
624	0.4561842136
625	0.456011191
626	0.4558798939
627	0.455755247
628	0.4555685054
629	0.4554254642
630	0.4552646107
631	0.4551354388
632	0.45500201
633	0.4549251176
634	0.4547778129
635	0.4546561347
636	0.4544987011
637	0.4543841962
638	0.4542589412
639	0.454177818
640	0.4540481753
641	0.4539101756
642	0.4537734119
643	0.4536975919
644	0.4535667394
645	0.4534434461
646	0.4533649582
647	0.453228456
648	0.4530647711
649	0.452896208
650	0.4527360673
651	0.4525849373
652	0.4524115485
653	0.4522997508
654	0.4521640856
655	0.4520574014
656	0.4519213438
657	0.4518464524
658	0.4516976895
659	0.4515337234
660	0.4514382079
661	0.4512793814
662	0.451144599
663	0.4510300026
664	0.4509277388
665	0.450765257
666	0.4505351618
667	0.4503857516
668	0.4502472027
669	0.4500851983
